gates,r,c,t
camping0,41,52,0
camping1,50,129,0
camping2,64,44,0
camping3,68,45,0
camping4,89,48,0
camping5,121,20,0
camping6,177,150,0
camping7,145,181,0
camping8,48,183,0
entrance0,13,62,1
entrance1,67,17,1
entrance2,87,183,1
entrance3,167,115,1
entrance4,181,138,1
gate0,33,63,2
gate1,44,58,2
gate2,54,24,2
gate3,60,149,2
gate4,114,164,2
gate5,146,131,2
gate6,151,116,2
gate7,160,97,2
gate8,181,138,2
general-gate0,9,110,3
general-gate1,25,64,3
general-gate2,32,104,3
general-gate3,55,186,3
general-gate4,98,69,3
general-gate5,111,124,3
general-gate6,137,136,3
general-gate7,144,65,3
ranger-base,175,128,4
ranger-stop0,16,89,5
ranger-stop1,24,19,5
ranger-stop2,35,80,5
ranger-stop3,45,148,5
ranger-stop4,95,18,5
ranger-stop5,118,151,5
ranger-stop6,147,123,5
ranger-stop7,152,100,5
