car-type,car-id,total_visit,total_stay_duration,total_stops,total_num_generalgate,total_num_rangerstop,total_num_camping,total_num_rangerbase,total_num_gate
1,20150001050042-811,1,96.88472222222222,6,2,0,2,0,0
1,20150001070000-174,1,0.9255555555555556,8,4,2,0,0,0
1,20150001070006-104,1,133.9008333333333,11,5,2,2,0,0
1,20150001080044-124,1,216.58972222222224,7,3,0,2,0,0
1,20150001090048-374,1,104.98583333333333,9,3,2,2,0,0
1,20150001100019-538,1,21.3425,9,3,2,2,0,0
1,20150001110028-155,1,0.5305555555555556,7,3,2,0,0,0
1,20150002080017-383,1,28.13861111111111,17,9,4,2,0,0
1,20150002120037-795,1,80.18388888888889,12,6,2,2,0,0
1,20150003040042-47,1,28.486944444444447,11,5,2,2,0,0
1,20150003060007-767,1,1.153888888888889,8,4,2,0,0,0
1,20150004010051-792,1,1.9638888888888888,17,9,4,2,0,0
1,20150004030017-259,1,19.605833333333333,5,1,0,2,0,0
1,20150004050003-330,1,0.4275,2,0,0,0,0,0
1,20150005020044-437,1,32.216944444444444,11,5,2,2,0,0
1,20150005080045-118,1,5.0175,10,4,2,2,0,0
1,20150005120027-336,1,0.4161111111111111,3,1,0,0,0,0
1,20150006010020-419,1,29.980000000000004,5,1,0,2,0,0
1,20150006070008-822,1,3.3766666666666665,6,2,0,2,0,0
1,20150007020012-126,1,138.29361111111112,12,6,2,2,0,0
1,20150007040000-591,1,1.1411111111111112,10,4,2,2,0,0
1,20150007040001-180,1,2.053888888888889,17,9,4,2,0,0
1,20150007060003-154,1,0.3322222222222222,2,0,0,0,0,0
1,20150007120029-935,1,0.9241666666666667,6,2,2,0,0,0
1,20150008010008-348,1,0.5211111111111111,3,1,0,0,0,0
1,20150008060003-21,1,82.4875,11,5,2,2,0,0
1,20150009040035-292,1,79.39138888888888,12,6,2,2,0,0
1,20150009060037-852,1,256.4697222222222,11,5,2,2,0,0
1,20150009110038-258,1,0.9972222222222222,7,3,0,2,0,0
1,20150010010032-566,1,0.5447222222222221,7,3,2,0,0,0
1,20150010040037-125,1,27.508888888888883,6,2,0,2,0,0
1,20150010050052-231,1,21.406388888888888,18,10,4,2,0,0
1,20150010080005-370,1,29.25861111111111,5,1,0,2,0,0
1,20150010100022-558,1,1.38,9,3,2,2,0,0
1,20150010120016-560,1,0.5122222222222222,4,2,0,0,0,0
1,20150010120021-402,1,0.8736111111111111,11,5,2,2,0,0
1,20150010120037-8,1,313.09833333333336,6,2,0,2,0,0
1,20150011120023-724,1,53.511944444444445,6,2,0,2,0,0
1,20150012080004-451,1,1.7305555555555556,14,6,4,2,0,0
1,20150013020033-816,1,79.225,14,6,4,2,0,0
1,20150013040059-365,1,0.6697222222222222,6,2,0,2,0,0
1,20150013050035-283,1,4.8822222222222225,18,10,4,2,0,0
1,20150013110026-797,1,30.36166666666666,6,2,0,2,0,0
1,20150014020055-887,1,0.47444444444444445,3,1,0,0,0,0
1,20150014120010-306,1,0.6072222222222222,4,2,0,0,0,0
1,20150015070013-394,1,3.8961111111111113,9,3,2,2,0,0
1,20150016010043-705,1,0.7491666666666666,5,1,0,2,0,0
1,20150016040038-159,1,1.145,8,4,2,0,0,0
1,20150016090024-567,1,1.4777777777777779,5,1,0,2,0,0
1,20150016090035-720,1,23.53638888888889,17,9,4,2,0,0
1,20150016120045-845,1,1.4994444444444444,12,6,2,2,0,0
1,20150017040038-392,1,118.44972222222222,12,4,4,2,0,0
1,20150017050047-192,1,0.57,6,2,2,0,0,0
1,20150018080022-664,1,32.765277777777776,20,12,4,2,0,0
1,20150018100013-569,1,96.66972222222222,11,5,2,2,0,0
1,20150018110057-525,1,50.89000000000001,13,7,2,2,0,0
1,20150019010004-372,1,58.513333333333335,16,8,4,2,0,0
1,20150019010055-677,1,81.08166666666666,8,4,0,2,0,0
1,20150019040039-358,1,194.7913888888889,16,8,4,2,0,0
1,20150019040047-472,1,1.083888888888889,11,5,2,2,0,0
1,20150020070057-880,1,0.45611111111111113,6,2,2,0,0,0
1,20150020090018-839,1,125.57638888888889,14,6,4,2,0,0
1,20150022040009-518,1,147.00861111111112,16,8,4,2,0,0
1,20150022090025-737,1,29.757222222222218,14,6,4,2,0,0
1,20150022120004-986,1,0.7908333333333334,6,2,2,0,0,0
1,20150023080039-257,1,1.0491666666666666,8,4,0,2,0,0
1,20150024030045-709,1,0.9333333333333333,9,5,2,0,0,0
1,20150024060019-914,1,152.03305555555556,13,7,2,2,0,0
1,20150024060036-489,1,1.4280555555555556,12,6,2,2,0,0
1,20150024090008-901,1,107.3475,9,3,2,2,0,0
1,20150024110011-994,1,1.2716666666666667,12,4,4,2,0,0
1,20150024110036-855,1,237.4038888888889,12,6,2,2,0,0
1,20150024120056-588,1,50.466388888888886,12,6,2,2,0,0
1,20150025100027-993,1,0.5102777777777778,3,1,0,0,0,0
1,20150026070015-698,1,35.32833333333333,16,8,4,2,0,0
1,20150026110019-851,1,1.0355555555555556,10,4,2,2,0,0
1,20150027100028-509,1,146.6375,17,9,4,2,0,0
1,20150027100030-310,1,55.47916666666667,14,6,4,2,0,0
1,20150028030041-325,1,125.94166666666666,11,5,2,2,0,0
1,20150028060003-741,1,97.83777777777777,4,0,0,2,0,0
1,20150028060011-953,1,2.5875,9,3,2,2,0,0
1,20150029020040-164,1,21.68638888888889,18,10,4,2,0,0
1,20150030050037-993,1,15.779444444444444,18,10,4,2,0,0
1,20150030070026-128,1,74.82777777777778,14,6,4,2,0,0
1,20150030080014-34,1,1.1086111111111112,10,4,2,2,0,0
1,20150030090047-958,1,0.5688888888888889,7,3,2,0,0,0
1,20150031030030-236,1,26.41638888888889,6,2,0,2,0,0
1,20150031040021-961,1,1.2719444444444445,11,5,2,2,0,0
1,20150031050048-776,1,11.573611111111111,16,8,4,2,0,0
1,20150031060051-429,1,102.75944444444444,13,7,2,2,0,0
1,20150031070053-947,1,130.2061111111111,5,1,0,2,0,0
1,20150031100003-289,1,0.8866666666666667,6,2,2,0,0,0
1,20150101110137-214,1,1.1455555555555557,10,4,2,2,0,0
1,20150102020155-899,1,24.851388888888888,17,9,4,2,0,0
1,20150102080136-341,1,1.2066666666666668,14,6,4,2,0,0
1,20150102120122-682,1,1.1511111111111112,8,4,2,0,0,0
1,20150102120151-257,1,46.175,11,5,2,2,0,0
1,20150103020130-343,1,174.90944444444443,13,7,2,2,0,0
1,20150103040138-632,1,42.305277777777775,12,4,4,2,0,0
1,20150103100107-497,1,55.58166666666666,16,8,4,2,0,0
1,20150104030100-971,1,0.2980555555555556,2,0,0,0,0,0
1,20150104040106-481,1,186.70888888888888,7,3,0,2,0,0
1,20150104050127-736,1,24.446111111111115,7,3,0,2,0,0
1,20150104120127-678,1,0.4866666666666667,7,3,2,0,0,0
1,20150105040155-8,1,140.6327777777778,9,3,2,2,0,0
1,20150105060134-242,1,413.3011111111111,4,0,0,2,0,0
1,20150105070153-470,1,250.07888888888886,11,5,2,2,0,0
1,20150105080122-729,1,84.97527777777778,17,9,4,2,0,0
1,20150105080156-835,1,0.9688888888888889,8,4,2,0,0,0
